iter	MultiClass
0	1.218785731
1	1.085759633
2	0.977508666
3	0.8937799104
4	0.8229167967
5	0.763985607
6	0.7119669583
7	0.6689701277
8	0.6315038296
9	0.5996617076
10	0.5700100807
11	0.5448618088
12	0.5211954741
13	0.5008672278
14	0.4836588876
15	0.4680575823
16	0.4531610931
17	0.439547559
18	0.4274811777
19	0.4178346449
20	0.4085445349
21	0.3986678974
22	0.3910832477
23	0.3842476946
24	0.3773114022
25	0.3719267064
26	0.365821192
27	0.3605377187
28	0.3567497755
29	0.3506022644
30	0.3452966976
31	0.3425507383
32	0.3389223093
33	0.3351960334
34	0.3318016245
35	0.3301990742
36	0.3265632967
37	0.3248878085
38	0.3216324725
39	0.3187103365
40	0.3164984906
41	0.3144133567
42	0.3128566942
43	0.3105142137
44	0.3095763445
45	0.307716595
46	0.3060050429
47	0.3039959506
48	0.3024303082
49	0.3013905137
50	0.3002495663
51	0.299121877
52	0.2977702749
53	0.2967955856
54	0.2956978037
55	0.2943752903
56	0.2931708218
57	0.2923060266
58	0.291408392
59	0.2900783155
60	0.2890532954
61	0.2878848542
62	0.2871685873
63	0.2860486076
64	0.2851000666
65	0.2840643168
66	0.2832846364
67	0.2818225641
68	0.2811637468
69	0.2806610972
70	0.279850855
71	0.2788043728
72	0.2779852818
73	0.2768660201
74	0.2765083962
75	0.275764475
76	0.275241069
77	0.2746604347
78	0.2740278892
79	0.2733639009
80	0.2727354121
81	0.2719100032
82	0.2707406453
83	0.2702483691
84	0.2695141223
85	0.268761381
86	0.267868554
87	0.2674597347
88	0.2670232193
89	0.2663944217
90	0.2657718075
91	0.2653621057
92	0.2648692701
93	0.26455519
94	0.2641372488
95	0.2638254368
96	0.2635055149
97	0.2628808611
98	0.2621501536
99	0.2613772411
100	0.2608628377
101	0.260108801
102	0.2596029676
103	0.2591049256
104	0.2586636022
105	0.2583729354
106	0.2580048139
107	0.2569842854
108	0.2564694456
109	0.2560417169
110	0.2553586678
111	0.2549272644
112	0.2541876077
113	0.2536988853
114	0.2531985162
115	0.2527804191
116	0.2525735739
117	0.2521256542
118	0.251976216
119	0.2516153072
120	0.2513885969
121	0.2509309693
122	0.2501820943
123	0.2494015789
124	0.2488324904
125	0.2483194607
126	0.2479920484
127	0.2475385825
128	0.246997298
129	0.2466992909
130	0.2464166478
131	0.2457618059
132	0.2450923398
133	0.2445023532
134	0.2442940099
135	0.2435910361
136	0.2428661289
137	0.2425908266
138	0.2423004749
139	0.2420719045
140	0.2415246344
141	0.2413018354
142	0.2410287744
143	0.2405573021
144	0.240217817
145	0.2397014032
146	0.2393277989
147	0.2390175687
148	0.2386678576
149	0.2382289542
150	0.2377182008
151	0.2372347009
152	0.2367420916
153	0.2361856656
154	0.2357679966
155	0.235510689
156	0.2351387531
157	0.234697021
158	0.2342862858
159	0.2337860821
160	0.2331274702
161	0.2327265468
162	0.2325228948
163	0.2321526685
164	0.2317376591
165	0.2314857902
166	0.2310440267
167	0.2309254072
168	0.2305362839
169	0.2301929339
170	0.2298649918
171	0.2295393214
172	0.2292664647
173	0.2290966018
174	0.2287153486
175	0.2285117078
176	0.2282161913
177	0.2280133249
178	0.2276415737
179	0.2271232511
180	0.2267987913
181	0.2264674125
182	0.2262912223
183	0.2259704407
184	0.2255186312
185	0.2252950493
186	0.2249795687
187	0.2246414115
188	0.2239795097
189	0.2237087346
190	0.2232770455
191	0.2230734367
192	0.222601383
193	0.222164807
194	0.2220396738
195	0.2216098959
196	0.2214047399
197	0.2212217456
198	0.2208660098
199	0.2207095991
200	0.2202776234
201	0.2197388177
202	0.219349261
203	0.2191817286
204	0.2188179582
205	0.2186292222
206	0.218360856
207	0.2181506898
208	0.2177470825
209	0.2173164574
210	0.2170457616
211	0.2168925619
212	0.2167269483
213	0.2165124548
214	0.2159427877
215	0.2157631672
216	0.2154105566
217	0.2150424214
218	0.2145567323
219	0.2142581102
220	0.2139689028
221	0.2132937495
222	0.2131625895
223	0.2127596394
224	0.2125599346
225	0.2123590567
226	0.2120856087
227	0.2117208993
228	0.2109716252
229	0.2107093455
230	0.2104967026
231	0.2101013343
232	0.2097316193
233	0.2095142428
234	0.2092727928
235	0.2091200609
236	0.208941488
237	0.2088181165
238	0.2085702886
239	0.2081951871
240	0.208012281
241	0.2075747875
242	0.2074083029
243	0.2068514393
244	0.2065368921
245	0.2062809145
246	0.2061045821
247	0.2059599142
248	0.2057743241
249	0.2055781123
250	0.2052304514
251	0.2046240215
252	0.2043233535
253	0.2039988044
254	0.2036665712
255	0.2035457357
256	0.2032324295
257	0.2030593951
258	0.2028984667
259	0.2023247827
260	0.2022052041
261	0.2019464278
262	0.201330925
263	0.2010609742
264	0.2009173268
265	0.2007486893
266	0.200359737
267	0.200175912
268	0.1998957645
269	0.1997431368
270	0.1994829319
271	0.1993277982
272	0.1991137188
273	0.1988280445
274	0.1986626324
275	0.1985473521
276	0.1981338368
277	0.1977741969
278	0.1976295387
279	0.197206814
280	0.1967507029
281	0.1962124333
282	0.1960830855
283	0.1959474104
284	0.1957832794
285	0.1954280367
286	0.1951603559
287	0.194856551
288	0.194442576
289	0.1940311783
290	0.1936989564
291	0.1936165169
292	0.1934813983
293	0.1932569793
294	0.193021224
295	0.1925084607
296	0.1922003481
297	0.1920751026
298	0.1918999031
299	0.1917031036
300	0.1916076153
301	0.191388364
302	0.1912409255
303	0.1910785946
304	0.1907958112
305	0.1905635316
306	0.1901870705
307	0.1898490113
308	0.1895558115
309	0.1892362234
310	0.1890930931
311	0.1887921721
312	0.1884802315
313	0.1882437653
314	0.1879359803
315	0.1876912765
316	0.187543046
317	0.1873192199
318	0.1870601764
319	0.186826782
320	0.1866948476
321	0.1865257148
322	0.1864026228
323	0.1861274434
324	0.1858971554
325	0.185767746
326	0.1855358337
327	0.1853479112
328	0.1851654587
329	0.1847477738
330	0.1845926406
331	0.1844089017
332	0.1840722374
333	0.1839476764
334	0.1834834939
335	0.1833051166
336	0.1831381805
337	0.1829663298
338	0.1825334274
339	0.1822879495
340	0.1820503725
341	0.1819090961
342	0.1816165044
343	0.181439908
344	0.1813052566
345	0.181119782
346	0.1808997192
347	0.1806455429
348	0.1805224786
349	0.180385143
350	0.1801148732
351	0.1798202307
352	0.1795148728
353	0.1792328002
354	0.1789119709
355	0.1787483596
356	0.1785686107
357	0.1782100293
358	0.1779918524
359	0.1777372435
360	0.1776530383
361	0.1775258649
362	0.1773302767
363	0.1771007347
364	0.176986679
365	0.1765841208
366	0.1763412865
367	0.1760213941
368	0.1757137875
369	0.1755383701
370	0.1753553875
371	0.1750498382
372	0.1747961493
373	0.174687938
374	0.174440545
375	0.174256084
376	0.1739365784
377	0.1738028573
378	0.1734692956
379	0.1732912894
380	0.1731546549
381	0.172995829
382	0.1727553582
383	0.1725516902
384	0.1722715596
385	0.1719979021
386	0.1716281242
387	0.1713799468
388	0.1713074155
389	0.1711096989
390	0.1708488842
391	0.170452805
392	0.1703029136
393	0.1700883245
394	0.1697811049
395	0.1696232212
396	0.1694523724
397	0.1693441621
398	0.1692045269
399	0.1690496058
400	0.1689473826
401	0.1687824494
402	0.1684825997
403	0.1683218625
404	0.1682326934
405	0.1677903274
406	0.1673547425
407	0.1671465746
408	0.1668988924
409	0.1665820744
410	0.1664093667
411	0.1661526086
412	0.1658242246
413	0.1656489184
414	0.165454926
415	0.1652272235
416	0.1650332911
417	0.164414798
418	0.164298421
419	0.1641468094
420	0.1639196623
421	0.1637892537
422	0.1635578318
423	0.1633813266
424	0.1629005055
425	0.162796127
426	0.1625453253
427	0.1623696578
428	0.1621411743
429	0.1618208527
430	0.1615097419
431	0.1613547553
432	0.1611828483
433	0.160980657
434	0.1608967349
435	0.1606154203
436	0.1602918491
437	0.1601008973
438	0.1599222862
439	0.1596917963
440	0.1592365237
441	0.159074388
442	0.1589726427
443	0.1588643672
444	0.1587028466
445	0.1586259028
446	0.1583892443
447	0.1581912462
448	0.1579548026
449	0.1576179563
450	0.157422321
451	0.1570623089
452	0.1569490974
453	0.1568766953
454	0.1565014807
455	0.156366853
456	0.1559056901
457	0.1556938879
458	0.1554304851
459	0.1552894047
460	0.1551757926
461	0.1548456683
462	0.1545365088
463	0.1544503066
464	0.1543845703
465	0.1540885588
466	0.1538487284
467	0.153660734
468	0.1534701914
469	0.1533084063
470	0.1531606445
471	0.1529896
472	0.1527820424
473	0.1525026685
474	0.1523994348
475	0.1522071551
476	0.1520626689
477	0.1519240909
478	0.1516700066
479	0.1514992245
480	0.1513527941
481	0.1510894802
482	0.1509768704
483	0.1507193122
484	0.1505812235
485	0.1504216176
486	0.1502630056
487	0.1502176438
488	0.1499524375
489	0.1497063236
490	0.149574978
491	0.1494559428
492	0.1492428993
493	0.1490858736
494	0.148925948
495	0.1488509819
496	0.1487028477
497	0.1485235493
498	0.1483557122
499	0.1481591145
500	0.1479405662
501	0.1478044605
502	0.1477363454
503	0.1475900683
504	0.1474854957
505	0.1472876416
506	0.1470353335
507	0.1467455355
508	0.1466297307
509	0.1464718947
510	0.1463942116
511	0.1461150806
512	0.1459946622
513	0.1457988159
514	0.1456189371
515	0.145426245
516	0.1452666586
517	0.1449922121
518	0.1447796234
519	0.1445462457
520	0.144417463
521	0.1441741742
522	0.143787895
523	0.1435167611
524	0.1432921722
525	0.143046178
526	0.1428636367
527	0.1427320422
528	0.142604277
529	0.1424768065
530	0.1422797984
531	0.1420310502
532	0.1417982417
533	0.1415918722
534	0.1415321369
535	0.1412492114
536	0.1408587875
537	0.1407153066
538	0.1405276295
539	0.1403095449
540	0.1401405719
541	0.1400597291
542	0.1398853283
543	0.1397096315
544	0.1394749734
545	0.1392987785
546	0.1391847043
547	0.1388189069
548	0.1386043929
549	0.1383896238
550	0.1382635929
551	0.1379044863
552	0.137787552
553	0.1376790507
554	0.1375207253
555	0.137301122
556	0.1372620851
557	0.1370915761
558	0.1369485591
559	0.1367905188
560	0.1365310676
561	0.1363307433
562	0.136125737
563	0.1359418232
564	0.1358214176
565	0.1356683576
566	0.1354123124
567	0.1352236531
568	0.1349669022
569	0.1348054801
570	0.1347105653
571	0.1345510835
572	0.1343985245
573	0.134185584
574	0.1340659344
575	0.1339914528
576	0.1338724849
577	0.1337004686
578	0.1336282138
579	0.1334099324
580	0.1331735868
581	0.1330565461
582	0.1328106536
583	0.1327163014
584	0.1326461976
585	0.1323789466
586	0.1322242176
587	0.1320486554
588	0.1318907289
589	0.1316852424
590	0.1315196505
591	0.1313251345
592	0.1312532272
593	0.131160929
594	0.1309911619
595	0.1308781934
596	0.1306889531
597	0.1306159665
598	0.1305253914
599	0.1303983294
600	0.1303106846
601	0.1302031319
602	0.1300679122
603	0.1298965284
604	0.1298306468
605	0.1296393906
606	0.1294901192
607	0.1293717648
608	0.1289684546
609	0.1288739917
610	0.12863862
611	0.1285454056
612	0.1284100817
613	0.1281644863
614	0.127977449
615	0.1276930603
616	0.1273848623
617	0.1272753864
618	0.1271283181
619	0.1269070856
620	0.1267688115
621	0.1265825864
622	0.1263831237
623	0.1263018363
624	0.1261230288
625	0.1258340677
626	0.1256804478
627	0.1255585872
628	0.1253616848
