iter	Passed	Remaining
0	3	3730
1	5	2870
2	7	2592
3	9	2476
4	12	2444
5	14	2399
6	16	2367
7	18	2346
8	21	2324
9	23	2304
10	25	2295
11	27	2276
12	29	2267
13	32	2265
14	34	2264
15	36	2262
16	39	2263
17	41	2262
18	43	2255
19	45	2251
20	48	2249
21	50	2243
22	52	2240
23	54	2229
24	57	2232
25	59	2231
26	61	2233
27	64	2224
28	66	2220
29	68	2222
30	70	2218
31	73	2215
32	75	2213
33	77	2210
34	79	2205
35	82	2202
36	84	2198
37	86	2194
38	88	2187
39	91	2187
40	93	2184
41	95	2179
42	97	2179
43	100	2181
44	102	2178
45	105	2179
46	107	2176
47	109	2171
48	111	2168
49	114	2167
50	116	2164
51	118	2161
52	120	2158
53	123	2158
54	125	2155
55	127	2150
56	129	2148
57	132	2146
58	134	2144
59	136	2143
60	138	2137
61	141	2135
62	143	2130
63	145	2129
64	147	2126
65	150	2123
66	152	2119
67	154	2119
68	156	2117
69	159	2114
70	161	2112
71	163	2110
72	166	2108
73	168	2106
74	170	2104
75	172	2100
76	175	2098
77	177	2096
78	179	2095
79	182	2093
80	184	2091
81	186	2089
82	189	2089
83	191	2087
84	193	2085
85	195	2082
86	198	2077
87	200	2074
88	202	2074
89	205	2074
90	207	2071
91	209	2068
92	211	2066
93	214	2062
94	216	2059
95	218	2056
96	220	2053
97	222	2050
98	225	2048
99	227	2045
100	229	2043
101	231	2040
102	233	2037
103	236	2034
104	238	2030
105	240	2028
106	243	2028
107	245	2026
108	247	2023
109	249	2020
110	251	2018
111	254	2016
112	256	2013
113	258	2011
114	261	2010
115	263	2007
116	265	2006
117	268	2003
118	270	2000
119	272	1999
120	274	1997
121	277	1993
122	279	1990
123	281	1988
124	283	1986
125	286	1984
126	288	1981
127	290	1978
128	292	1975
129	294	1972
130	296	1969
131	299	1968
132	301	1965
133	303	1963
134	305	1960
135	308	1958
136	310	1955
137	312	1954
138	314	1950
139	317	1949
140	319	1947
141	321	1944
142	324	1941
143	326	1939
144	328	1937
145	330	1935
146	333	1933
147	335	1930
148	337	1927
149	340	1926
150	342	1924
151	344	1921
152	346	1919
153	349	1918
154	351	1915
155	353	1913
156	356	1912
157	358	1909
158	360	1907
159	362	1904
160	364	1902
161	367	1899
162	369	1897
163	371	1895
164	374	1894
165	376	1892
166	378	1890
167	381	1887
168	383	1884
169	385	1881
170	387	1878
171	389	1876
172	392	1874
173	394	1872
174	396	1869
175	398	1866
176	400	1863
177	403	1861
178	405	1859
179	407	1857
