epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.78125,1.3128883838653564,,
0,99,0.84375,1.2117046117782593,,
0,149,0.78125,1.3754791021347046,,
0,197,,,0.8244613409042358,1.2362288236618042
1,199,0.78125,1.3413783311843872,,
1,249,0.84375,1.2238622903823853,,
1,299,0.875,1.110256552696228,,
1,349,0.875,1.152276635169983,,
1,395,,,0.8244613409042358,1.2354658842086792
2,399,0.875,1.15622079372406,,
2,449,0.71875,1.4306470155715942,,
2,499,0.875,1.1501264572143555,,
2,549,0.875,1.1433401107788086,,
2,593,,,0.8244613409042358,1.235342025756836
3,599,0.90625,1.054772138595581,,
3,649,0.78125,1.3430826663970947,,
3,699,0.84375,1.219367265701294,,
3,749,0.78125,1.3440496921539307,,
3,791,,,0.8244613409042358,1.2340000867843628
4,799,0.71875,1.3939982652664185,,
4,849,0.84375,1.1826578378677368,,
4,899,0.8125,1.2929962873458862,,
4,949,0.96875,0.8735240697860718,,
4,989,,,0.8244613409042358,1.2355799674987793
5,999,0.65625,1.4996328353881836,,
5,1049,0.8125,1.2548768520355225,,
5,1099,0.78125,1.3725405931472778,,
5,1149,0.875,1.1550911664962769,,
5,1187,,,0.8244613409042358,1.2339307069778442
6,1199,0.875,1.1588414907455444,,
6,1249,0.875,1.1529686450958252,,
6,1299,0.65625,1.4921519756317139,,
6,1349,0.875,1.1486743688583374,,
6,1385,,,0.8244613409042358,1.235530138015747
7,1399,0.75,1.345407247543335,,
7,1449,0.84375,1.2322825193405151,,
7,1499,0.84375,1.219931960105896,,
7,1549,0.75,1.3623143434524536,,
7,1583,,,0.8244613409042358,1.2394521236419678
8,1599,0.78125,1.2994898557662964,,
8,1649,0.8125,1.313644528388977,,
8,1699,0.78125,1.3461581468582153,,
8,1749,0.78125,1.3331977128982544,,
8,1781,,,0.8244613409042358,1.2367898225784302
9,1799,0.9375,0.8630473017692566,,
9,1849,0.84375,1.2143492698669434,,
9,1899,0.90625,1.0412583351135254,,
9,1949,0.875,1.1569085121154785,,
9,1979,,,0.8244613409042358,1.2370949983596802
